Dataset,#TrainRelease,Classifier,FeatSel,Sampling,CostSens,TP,FP,FN,TN,Precision,Recall,AUC,Kappa
BOOKKEEPER,14,ibk,no selection,oversampling,no cost sensitive,1252,49,15,66,0.574,0.815,0.898,0.649
BOOKKEEPER,15,random forest,no selection,oversampling,no cost sensitive,1292,30,7,74,0.712,0.914,0.983,0.786
BOOKKEEPER,15,naive bayes,no selection,oversampling,no cost sensitive,1210,112,29,52,0.317,0.642,0.913,0.376
BOOKKEEPER,15,ibk,no selection,oversampling,no cost sensitive,1270,52,14,67,0.563,0.827,0.905,0.646
BOOKKEEPER,16,random forest,no selection,oversampling,no cost sensitive,1302,31,13,65,0.677,0.833,0.985,0.731
BOOKKEEPER,16,naive bayes,no selection,oversampling,no cost sensitive,1216,117,27,51,0.304,0.654,0.918,0.367
BOOKKEEPER,16,ibk,no selection,oversampling,no cost sensitive,1281,52,16,62,0.544,0.795,0.885,0.621
BOOKKEEPER,17,random forest,no selection,oversampling,no cost sensitive,1323,21,10,62,0.747,0.861,0.996,0.788
BOOKKEEPER,17,naive bayes,no selection,oversampling,no cost sensitive,1230,114,21,51,0.309,0.708,0.923,0.387
BOOKKEEPER,17,ibk,no selection,oversampling,no cost sensitive,1296,48,9,63,0.568,0.875,0.935,0.668
BOOKKEEPER,18,random forest,no selection,oversampling,no cost sensitive,1300,8,39,69,0.896,0.639,0.951,0.729
BOOKKEEPER,18,naive bayes,no selection,oversampling,no cost sensitive,1205,103,47,61,0.372,0.565,0.890,0.393
BOOKKEEPER,18,ibk,no selection,oversampling,no cost sensitive,1274,34,40,68,0.667,0.630,0.802,0.619
BOOKKEEPER,19,random forest,no selection,oversampling,no cost sensitive,1313,47,32,73,0.608,0.695,0.965,0.620
BOOKKEEPER,19,naive bayes,no selection,oversampling,no cost sensitive,1246,114,45,60,0.345,0.571,0.888,0.374
BOOKKEEPER,19,ibk,no selection,oversampling,no cost sensitive,1285,75,41,64,0.460,0.610,0.815,0.482
BOOKKEEPER,20,random forest,no selection,oversampling,no cost sensitive,1346,40,38,91,0.695,0.705,0.966,0.672
BOOKKEEPER,20,naive bayes,no selection,oversampling,no cost sensitive,1278,108,63,66,0.379,0.512,0.878,0.374
BOOKKEEPER,20,ibk,no selection,oversampling,no cost sensitive,1301,85,47,82,0.491,0.636,0.806,0.507
BOOKKEEPER,21,random forest,no selection,oversampling,no cost sensitive,1365,89,25,79,0.470,0.760,0.956,0.543
BOOKKEEPER,21,naive bayes,no selection,oversampling,no cost sensitive,1321,133,49,55,0.293,0.529,0.856,0.318
BOOKKEEPER,21,ibk,no selection,oversampling,no cost sensitive,1325,129,37,67,0.342,0.644,0.806,0.394
BOOKKEEPER,22,random forest,no selection,oversampling,no cost sensitive,1399,67,17,79,0.541,0.823,0.975,0.625
BOOKKEEPER,22,naive bayes,no selection,oversampling,no cost sensitive,1335,131,44,52,0.284,0.542,0.870,0.318
BOOKKEEPER,22,ibk,no selection,oversampling,no cost sensitive,1356,110,31,65,0.371,0.677,0.791,0.435
BOOKKEEPER,1,random forest,no selection,oversampling,sensitive threshold,716,89,0,84,0.486,1.000,0.945,0.603
BOOKKEEPER,1,naive bayes,no selection,oversampling,sensitive threshold,691,114,17,67,0.370,0.798,0.828,0.432
BOOKKEEPER,1,ibk,no selection,oversampling,sensitive threshold,772,33,1,83,0.716,0.988,0.974,0.809
BOOKKEEPER,2,random forest,no selection,oversampling,sensitive threshold,770,70,14,116,0.624,0.892,0.904,0.684
BOOKKEEPER,2,naive bayes,no selection,oversampling,sensitive threshold,719,121,54,76,0.386,0.585,0.720,0.362
BOOKKEEPER,2,ibk,no selection,oversampling,sensitive threshold,801,39,37,93,0.705,0.715,0.834,0.665
BOOKKEEPER,3,random forest,no selection,oversampling,sensitive threshold,752,86,1,131,0.604,0.992,0.945,0.700
BOOKKEEPER,3,naive bayes,no selection,oversampling,sensitive threshold,718,120,57,75,0.385,0.568,0.712,0.354
BOOKKEEPER,3,ibk,no selection,oversampling,sensitive threshold,811,27,27,105,0.795,0.795,0.882,0.763
BOOKKEEPER,4,random forest,no selection,oversampling,sensitive threshold,760,95,3,167,0.637,0.982,0.936,0.716
BOOKKEEPER,4,naive bayes,no selection,oversampling,sensitive threshold,713,142,68,102,0.418,0.600,0.717,0.369
BOOKKEEPER,4,ibk,no selection,oversampling,sensitive threshold,807,48,41,129,0.729,0.759,0.851,0.691
BOOKKEEPER,5,random forest,no selection,oversampling,sensitive threshold,781,74,0,175,0.703,1.000,0.957,0.782
BOOKKEEPER,5,naive bayes,no selection,oversampling,sensitive threshold,719,136,66,109,0.445,0.623,0.732,0.400
BOOKKEEPER,5,ibk,no selection,oversampling,sensitive threshold,814,41,30,145,0.780,0.829,0.890,0.762
BOOKKEEPER,6,random forest,no selection,oversampling,sensitive threshold,777,177,1,99,0.359,0.990,0.902,0.450
BOOKKEEPER,6,naive bayes,no selection,oversampling,sensitive threshold,795,159,36,64,0.287,0.640,0.737,0.305
BOOKKEEPER,6,ibk,no selection,oversampling,sensitive threshold,842,112,15,85,0.431,0.850,0.866,0.511
BOOKKEEPER,7,random forest,no selection,oversampling,sensitive threshold,810,251,2,47,0.158,0.959,0.861,0.211
BOOKKEEPER,7,naive bayes,no selection,oversampling,sensitive threshold,848,213,23,26,0.109,0.531,0.665,0.116
BOOKKEEPER,7,ibk,no selection,oversampling,sensitive threshold,911,150,12,37,0.198,0.755,0.807,0.262
BOOKKEEPER,8,random forest,no selection,oversampling,sensitive threshold,832,233,3,49,0.174,0.942,0.862,0.233
BOOKKEEPER,8,naive bayes,no selection,oversampling,sensitive threshold,913,152,14,38,0.200,0.731,0.794,0.260
BOOKKEEPER,8,ibk,no selection,oversampling,sensitive threshold,957,108,16,36,0.250,0.692,0.795,0.321
BOOKKEEPER,9,random forest,no selection,oversampling,sensitive threshold,1017,257,3,46,0.152,0.939,0.869,0.211
BOOKKEEPER,9,naive bayes,no selection,oversampling,sensitive threshold,1126,148,12,37,0.200,0.755,0.819,0.274
BOOKKEEPER,9,ibk,no selection,oversampling,sensitive threshold,1149,125,14,35,0.219,0.714,0.808,0.295
BOOKKEEPER,10,random forest,no selection,oversampling,sensitive threshold,1036,235,3,57,0.195,0.950,0.883,0.269
BOOKKEEPER,10,naive bayes,no selection,oversampling,sensitive threshold,1130,141,17,43,0.234,0.717,0.803,0.305
BOOKKEEPER,10,ibk,no selection,oversampling,sensitive threshold,1150,121,11,49,0.288,0.817,0.861,0.385
BOOKKEEPER,11,random forest,no selection,oversampling,sensitive threshold,1064,243,4,63,0.206,0.940,0.877,0.280
BOOKKEEPER,11,naive bayes,no selection,oversampling,sensitive threshold,1125,182,15,52,0.222,0.776,0.818,0.292
BOOKKEEPER,11,ibk,no selection,oversampling,sensitive threshold,1199,108,24,43,0.285,0.642,0.780,0.351
BOOKKEEPER,12,random forest,no selection,oversampling,sensitive threshold,1087,219,2,69,0.240,0.972,0.902,0.329
BOOKKEEPER,12,naive bayes,no selection,oversampling,sensitive threshold,1145,161,20,51,0.241,0.718,0.798,0.307
BOOKKEEPER,12,ibk,no selection,oversampling,sensitive threshold,1247,59,10,61,0.508,0.859,0.907,0.614
BOOKKEEPER,13,random forest,no selection,oversampling,sensitive threshold,1126,172,2,78,0.312,0.975,0.921,0.422
BOOKKEEPER,13,naive bayes,no selection,oversampling,sensitive threshold,1147,151,26,54,0.263,0.675,0.779,0.322
BOOKKEEPER,13,ibk,no selection,oversampling,sensitive threshold,1250,48,16,64,0.571,0.800,0.882,0.642
BOOKKEEPER,14,random forest,no selection,oversampling,sensitive threshold,1169,132,3,78,0.371,0.963,0.931,0.493
BOOKKEEPER,14,naive bayes,no selection,oversampling,sensitive threshold,1158,143,26,55,0.278,0.679,0.785,0.339
BOOKKEEPER,14,ibk,no selection,oversampling,sensitive threshold,1252,49,15,66,0.574,0.815,0.889,0.649
BOOKKEEPER,15,random forest,no selection,oversampling,sensitive threshold,1207,115,2,79,0.407,0.975,0.944,0.537
BOOKKEEPER,15,naive bayes,no selection,oversampling,sensitive threshold,1184,138,24,57,0.292,0.704,0.800,0.361
BOOKKEEPER,15,ibk,no selection,oversampling,sensitive threshold,1270,52,14,67,0.563,0.827,0.894,0.646
BOOKKEEPER,16,random forest,no selection,oversampling,sensitive threshold,1223,110,4,74,0.402,0.949,0.933,0.528
BOOKKEEPER,16,naive bayes,no selection,oversampling,sensitive threshold,1189,144,22,56,0.280,0.718,0.805,0.351
BOOKKEEPER,16,ibk,no selection,oversampling,sensitive threshold,1281,52,16,62,0.544,0.795,0.878,0.621
BOOKKEEPER,17,random forest,no selection,oversampling,sensitive threshold,1250,94,0,72,0.434,1.000,0.965,0.575
BOOKKEEPER,17,naive bayes,no selection,oversampling,sensitive threshold,1203,141,18,54,0.277,0.750,0.823,0.357
BOOKKEEPER,17,ibk,no selection,oversampling,sensitive threshold,1296,48,9,63,0.568,0.875,0.920,0.668
BOOKKEEPER,18,random forest,no selection,oversampling,sensitive threshold,1255,53,27,81,0.604,0.750,0.855,0.639
BOOKKEEPER,18,naive bayes,no selection,oversampling,sensitive threshold,1183,125,44,64,0.339,0.593,0.749,0.370
BOOKKEEPER,18,ibk,no selection,oversampling,sensitive threshold,1274,34,40,68,0.667,0.630,0.802,0.619
BOOKKEEPER,19,random forest,no selection,oversampling,sensitive threshold,1211,149,5,100,0.402,0.952,0.921,0.516
BOOKKEEPER,19,naive bayes,no selection,oversampling,sensitive threshold,1214,146,41,64,0.305,0.610,0.751,0.344
BOOKKEEPER,19,ibk,no selection,oversampling,sensitive threshold,1285,75,41,64,0.460,0.610,0.777,0.482
BOOKKEEPER,20,random forest,no selection,oversampling,sensitive threshold,1210,176,10,119,0.403,0.922,0.898,0.502
BOOKKEEPER,20,naive bayes,no selection,oversampling,sensitive threshold,1251,135,56,73,0.351,0.566,0.734,0.367
BOOKKEEPER,20,ibk,no selection,oversampling,sensitive threshold,1300,86,47,82,0.488,0.636,0.787,0.504
BOOKKEEPER,21,random forest,no selection,oversampling,sensitive threshold,1217,237,3,101,0.299,0.971,0.904,0.395
BOOKKEEPER,21,naive bayes,no selection,oversampling,sensitive threshold,1286,168,44,60,0.263,0.577,0.731,0.297
BOOKKEEPER,21,ibk,no selection,oversampling,sensitive threshold,1325,129,37,67,0.342,0.644,0.778,0.394
BOOKKEEPER,22,random forest,no selection,oversampling,sensitive threshold,1245,221,3,93,0.296,0.969,0.909,0.397
BOOKKEEPER,22,naive bayes,no selection,oversampling,sensitive threshold,1302,164,40,56,0.255,0.583,0.736,0.294
BOOKKEEPER,22,ibk,no selection,oversampling,sensitive threshold,1356,110,31,65,0.371,0.677,0.801,0.435
BOOKKEEPER,1,random forest,no selection,oversampling,sensitive learning,725,80,0,84,0.512,1.000,0.998,0.631
BOOKKEEPER,1,naive bayes,no selection,oversampling,sensitive learning,691,114,17,67,0.370,0.798,0.890,0.432
BOOKKEEPER,1,ibk,no selection,oversampling,sensitive learning,772,33,1,83,0.716,0.988,0.976,0.809
BOOKKEEPER,2,random forest,no selection,oversampling,sensitive learning,772,68,20,110,0.618,0.846,0.957,0.662
BOOKKEEPER,2,naive bayes,no selection,oversampling,sensitive learning,719,121,54,76,0.386,0.585,0.774,0.362
BOOKKEEPER,2,ibk,no selection,oversampling,sensitive learning,801,39,37,93,0.705,0.715,0.832,0.665
BOOKKEEPER,3,random forest,no selection,oversampling,sensitive learning,775,63,1,131,0.675,0.992,0.988,0.766
BOOKKEEPER,3,naive bayes,no selection,oversampling,sensitive learning,718,120,57,75,0.385,0.568,0.820,0.354
BOOKKEEPER,3,ibk,no selection,oversampling,sensitive learning,811,27,27,105,0.795,0.795,0.877,0.763
BOOKKEEPER,4,random forest,no selection,oversampling,sensitive learning,779,76,11,159,0.677,0.935,0.975,0.734
BOOKKEEPER,4,naive bayes,no selection,oversampling,sensitive learning,713,142,68,102,0.418,0.600,0.881,0.369
BOOKKEEPER,4,ibk,no selection,oversampling,sensitive learning,807,48,41,129,0.729,0.759,0.859,0.691
BOOKKEEPER,5,random forest,no selection,oversampling,sensitive learning,787,68,6,169,0.713,0.966,0.991,0.777
BOOKKEEPER,5,naive bayes,no selection,oversampling,sensitive learning,719,136,66,109,0.445,0.623,0.880,0.400
BOOKKEEPER,5,ibk,no selection,oversampling,sensitive learning,814,41,30,145,0.780,0.829,0.895,0.762
BOOKKEEPER,6,random forest,no selection,oversampling,sensitive learning,793,161,1,99,0.381,0.990,0.948,0.479
BOOKKEEPER,6,naive bayes,no selection,oversampling,sensitive learning,795,159,36,64,0.287,0.640,0.865,0.305
BOOKKEEPER,6,ibk,no selection,oversampling,sensitive learning,842,112,15,85,0.431,0.850,0.878,0.511
BOOKKEEPER,7,random forest,no selection,oversampling,sensitive learning,834,227,3,46,0.168,0.939,0.904,0.228
BOOKKEEPER,7,naive bayes,no selection,oversampling,sensitive learning,848,213,23,26,0.109,0.531,0.814,0.116
BOOKKEEPER,7,ibk,no selection,oversampling,sensitive learning,911,150,12,37,0.198,0.755,0.829,0.262
BOOKKEEPER,8,random forest,no selection,oversampling,sensitive learning,895,170,4,48,0.220,0.923,0.959,0.303
BOOKKEEPER,8,naive bayes,no selection,oversampling,sensitive learning,913,152,14,38,0.200,0.731,0.899,0.260
BOOKKEEPER,8,ibk,no selection,oversampling,sensitive learning,957,108,16,36,0.250,0.692,0.809,0.321
BOOKKEEPER,9,random forest,no selection,oversampling,sensitive learning,1069,205,4,45,0.180,0.918,0.954,0.255
BOOKKEEPER,9,naive bayes,no selection,oversampling,sensitive learning,1126,148,12,37,0.200,0.755,0.896,0.274
BOOKKEEPER,9,ibk,no selection,oversampling,sensitive learning,1149,125,14,35,0.219,0.714,0.820,0.295
BOOKKEEPER,10,random forest,no selection,oversampling,sensitive learning,1112,159,5,55,0.257,0.917,0.970,0.356
BOOKKEEPER,10,naive bayes,no selection,oversampling,sensitive learning,1130,141,17,43,0.234,0.717,0.899,0.305
BOOKKEEPER,10,ibk,no selection,oversampling,sensitive learning,1150,121,11,49,0.288,0.817,0.870,0.385
BOOKKEEPER,11,random forest,no selection,oversampling,sensitive learning,1133,174,10,57,0.247,0.851,0.948,0.332
BOOKKEEPER,11,naive bayes,no selection,oversampling,sensitive learning,1125,182,15,52,0.222,0.776,0.909,0.292
BOOKKEEPER,11,ibk,no selection,oversampling,sensitive learning,1199,108,24,43,0.285,0.642,0.789,0.351
BOOKKEEPER,12,random forest,no selection,oversampling,sensitive learning,1158,148,3,68,0.315,0.958,0.986,0.430
BOOKKEEPER,12,naive bayes,no selection,oversampling,sensitive learning,1145,161,20,51,0.241,0.718,0.911,0.307
BOOKKEEPER,12,ibk,no selection,oversampling,sensitive learning,1247,59,10,61,0.508,0.859,0.926,0.614
BOOKKEEPER,13,random forest,no selection,oversampling,sensitive learning,1189,109,3,77,0.414,0.963,0.987,0.542
BOOKKEEPER,13,naive bayes,no selection,oversampling,sensitive learning,1147,151,26,54,0.263,0.675,0.913,0.322
BOOKKEEPER,13,ibk,no selection,oversampling,sensitive learning,1250,48,16,64,0.571,0.800,0.904,0.642
BOOKKEEPER,14,random forest,no selection,oversampling,sensitive learning,1219,82,3,78,0.488,0.963,0.992,0.618
BOOKKEEPER,14,naive bayes,no selection,oversampling,sensitive learning,1158,143,26,55,0.278,0.679,0.911,0.339
BOOKKEEPER,14,ibk,no selection,oversampling,sensitive learning,1252,49,15,66,0.574,0.815,0.898,0.649
BOOKKEEPER,15,random forest,no selection,oversampling,sensitive learning,1250,72,2,79,0.523,0.975,0.986,0.655
BOOKKEEPER,15,naive bayes,no selection,oversampling,sensitive learning,1184,138,24,57,0.292,0.704,0.913,0.361
BOOKKEEPER,15,ibk,no selection,oversampling,sensitive learning,1270,52,14,67,0.563,0.827,0.905,0.646
BOOKKEEPER,16,random forest,no selection,oversampling,sensitive learning,1268,65,6,72,0.526,0.923,0.980,0.645
BOOKKEEPER,16,naive bayes,no selection,oversampling,sensitive learning,1189,144,22,56,0.280,0.718,0.918,0.351
BOOKKEEPER,16,ibk,no selection,oversampling,sensitive learning,1281,52,16,62,0.544,0.795,0.885,0.621
BOOKKEEPER,17,random forest,no selection,oversampling,sensitive learning,1288,56,6,66,0.541,0.917,0.993,0.659
BOOKKEEPER,17,naive bayes,no selection,oversampling,sensitive learning,1203,141,18,54,0.277,0.750,0.923,0.357
BOOKKEEPER,17,ibk,no selection,oversampling,sensitive learning,1296,48,9,63,0.568,0.875,0.935,0.668
BOOKKEEPER,18,random forest,no selection,oversampling,sensitive learning,1280,28,31,77,0.733,0.713,0.972,0.700
BOOKKEEPER,18,naive bayes,no selection,oversampling,sensitive learning,1183,125,44,64,0.339,0.593,0.890,0.370
BOOKKEEPER,18,ibk,no selection,oversampling,sensitive learning,1274,34,40,68,0.667,0.630,0.802,0.619
BOOKKEEPER,19,random forest,no selection,oversampling,sensitive learning,1275,85,11,94,0.525,0.895,0.966,0.628
BOOKKEEPER,19,naive bayes,no selection,oversampling,sensitive learning,1214,146,41,64,0.305,0.610,0.888,0.344
BOOKKEEPER,19,ibk,no selection,oversampling,sensitive learning,1285,75,41,64,0.460,0.610,0.815,0.482
BOOKKEEPER,20,random forest,no selection,oversampling,sensitive learning,1282,104,24,105,0.502,0.814,0.965,0.577
BOOKKEEPER,20,naive bayes,no selection,oversampling,sensitive learning,1251,135,56,73,0.351,0.566,0.878,0.367
BOOKKEEPER,20,ibk,no selection,oversampling,sensitive learning,1300,86,47,82,0.488,0.636,0.806,0.504
BOOKKEEPER,21,random forest,no selection,oversampling,sensitive learning,1281,173,15,89,0.340,0.856,0.949,0.432
BOOKKEEPER,21,naive bayes,no selection,oversampling,sensitive learning,1286,168,44,60,0.263,0.577,0.856,0.297
BOOKKEEPER,21,ibk,no selection,oversampling,sensitive learning,1325,129,37,67,0.342,0.644,0.806,0.394
BOOKKEEPER,22,random forest,no selection,oversampling,sensitive learning,1312,154,14,82,0.347,0.854,0.970,0.446
BOOKKEEPER,22,naive bayes,no selection,oversampling,sensitive learning,1302,164,40,56,0.255,0.583,0.870,0.294
BOOKKEEPER,22,ibk,no selection,oversampling,sensitive learning,1356,110,31,65,0.371,0.677,0.791,0.435
BOOKKEEPER,1,random forest,no selection,undersampling,no cost sensitive,734,71,0,84,0.542,1.000,0.993,0.661
BOOKKEEPER,1,naive bayes,no selection,undersampling,no cost sensitive,734,71,24,60,0.458,0.714,0.892,0.501
BOOKKEEPER,1,ibk,no selection,undersampling,no cost sensitive,702,103,0,84,0.449,1.000,0.931,0.563
BOOKKEEPER,2,random forest,no selection,undersampling,no cost sensitive,772,68,19,111,0.620,0.854,0.948,0.667
BOOKKEEPER,2,naive bayes,no selection,undersampling,no cost sensitive,760,80,63,67,0.456,0.515,0.732,0.398
BOOKKEEPER,2,ibk,no selection,undersampling,no cost sensitive,705,135,22,108,0.444,0.831,0.832,0.490
BOOKKEEPER,3,random forest,no selection,undersampling,no cost sensitive,785,53,7,125,0.702,0.947,0.982,0.771
BOOKKEEPER,3,naive bayes,no selection,undersampling,no cost sensitive,770,68,63,69,0.504,0.523,0.830,0.435
BOOKKEEPER,3,ibk,no selection,undersampling,no cost sensitive,742,96,25,107,0.527,0.811,0.846,0.567
BOOKKEEPER,4,random forest,no selection,undersampling,no cost sensitive,792,63,18,152,0.707,0.894,0.971,0.742
BOOKKEEPER,4,naive bayes,no selection,undersampling,no cost sensitive,774,81,80,90,0.526,0.529,0.879,0.434
BOOKKEEPER,4,ibk,no selection,undersampling,no cost sensitive,779,76,30,140,0.648,0.824,0.873,0.663
BOOKKEEPER,5,random forest,no selection,undersampling,no cost sensitive,806,49,7,168,0.774,0.960,0.988,0.824
BOOKKEEPER,5,naive bayes,no selection,undersampling,no cost sensitive,778,77,80,95,0.552,0.543,0.892,0.456
BOOKKEEPER,5,ibk,no selection,undersampling,no cost sensitive,797,58,22,153,0.725,0.874,0.903,0.745
BOOKKEEPER,6,random forest,no selection,undersampling,no cost sensitive,817,137,3,97,0.415,0.970,0.951,0.517
BOOKKEEPER,6,naive bayes,no selection,undersampling,no cost sensitive,843,111,45,55,0.331,0.550,0.864,0.335
BOOKKEEPER,6,ibk,no selection,undersampling,no cost sensitive,830,124,15,85,0.407,0.850,0.865,0.484
BOOKKEEPER,7,random forest,no selection,undersampling,no cost sensitive,851,210,14,35,0.143,0.714,0.891,0.178
BOOKKEEPER,7,naive bayes,no selection,undersampling,no cost sensitive,905,156,26,23,0.128,0.469,0.810,0.142
BOOKKEEPER,7,ibk,no selection,undersampling,no cost sensitive,864,197,9,40,0.169,0.816,0.818,0.223
BOOKKEEPER,8,random forest,no selection,undersampling,no cost sensitive,913,152,2,50,0.248,0.962,0.958,0.345
BOOKKEEPER,8,naive bayes,no selection,undersampling,no cost sensitive,934,131,21,31,0.191,0.596,0.896,0.236
BOOKKEEPER,8,ibk,no selection,undersampling,no cost sensitive,923,142,5,47,0.249,0.904,0.888,0.342
BOOKKEEPER,9,random forest,no selection,undersampling,no cost sensitive,1103,171,6,43,0.201,0.878,0.943,0.284
BOOKKEEPER,9,naive bayes,no selection,undersampling,no cost sensitive,1161,113,17,32,0.221,0.653,0.894,0.291
BOOKKEEPER,9,ibk,no selection,undersampling,no cost sensitive,1099,175,9,40,0.186,0.816,0.846,0.258
BOOKKEEPER,10,random forest,no selection,undersampling,no cost sensitive,1137,134,8,52,0.280,0.867,0.959,0.381
BOOKKEEPER,10,naive bayes,no selection,undersampling,no cost sensitive,1170,101,23,37,0.268,0.617,0.898,0.332
BOOKKEEPER,10,ibk,no selection,undersampling,no cost sensitive,1072,199,8,52,0.207,0.867,0.858,0.282
BOOKKEEPER,11,random forest,no selection,undersampling,no cost sensitive,1137,170,12,55,0.244,0.821,0.943,0.326
BOOKKEEPER,11,naive bayes,no selection,undersampling,no cost sensitive,1158,149,20,47,0.240,0.701,0.909,0.307
BOOKKEEPER,11,ibk,no selection,undersampling,no cost sensitive,1102,205,10,57,0.218,0.851,0.849,0.291
BOOKKEEPER,12,random forest,no selection,undersampling,no cost sensitive,1155,151,3,68,0.311,0.958,0.980,0.424
BOOKKEEPER,12,naive bayes,no selection,undersampling,no cost sensitive,1179,127,23,48,0.274,0.676,0.912,0.342
BOOKKEEPER,12,ibk,no selection,undersampling,no cost sensitive,1131,175,6,65,0.271,0.915,0.895,0.368
BOOKKEEPER,13,random forest,no selection,undersampling,no cost sensitive,1162,136,3,77,0.362,0.963,0.979,0.482
BOOKKEEPER,13,naive bayes,no selection,undersampling,no cost sensitive,1174,124,28,52,0.295,0.650,0.912,0.355
BOOKKEEPER,13,ibk,no selection,undersampling,no cost sensitive,1178,120,6,74,0.381,0.925,0.917,0.499
BOOKKEEPER,14,random forest,no selection,undersampling,no cost sensitive,1191,110,4,77,0.412,0.951,0.981,0.537
BOOKKEEPER,14,naive bayes,no selection,undersampling,no cost sensitive,1176,125,29,52,0.294,0.642,0.909,0.351
BOOKKEEPER,14,ibk,no selection,undersampling,no cost sensitive,1169,132,3,78,0.371,0.963,0.931,0.493
BOOKKEEPER,15,random forest,no selection,undersampling,no cost sensitive,1229,93,3,78,0.456,0.963,0.978,0.587
BOOKKEEPER,15,naive bayes,no selection,undersampling,no cost sensitive,1212,110,28,53,0.325,0.654,0.915,0.387
BOOKKEEPER,15,ibk,no selection,undersampling,no cost sensitive,1196,126,5,76,0.376,0.938,0.922,0.496
BOOKKEEPER,16,random forest,no selection,undersampling,no cost sensitive,1243,90,6,72,0.444,0.923,0.977,0.568
BOOKKEEPER,16,naive bayes,no selection,undersampling,no cost sensitive,1207,126,27,51,0.288,0.654,0.915,0.350
BOOKKEEPER,16,ibk,no selection,undersampling,no cost sensitive,1188,145,12,66,0.313,0.846,0.870,0.409
BOOKKEEPER,17,random forest,no selection,undersampling,no cost sensitive,1262,82,5,67,0.450,0.931,0.986,0.577
BOOKKEEPER,17,naive bayes,no selection,undersampling,no cost sensitive,1232,112,21,51,0.313,0.708,0.924,0.391
BOOKKEEPER,17,ibk,no selection,undersampling,no cost sensitive,1217,127,5,67,0.345,0.931,0.919,0.464
BOOKKEEPER,18,random forest,no selection,undersampling,no cost sensitive,1241,67,26,82,0.550,0.759,0.965,0.603
BOOKKEEPER,18,naive bayes,no selection,undersampling,no cost sensitive,1209,99,46,62,0.385,0.574,0.891,0.407
BOOKKEEPER,18,ibk,no selection,undersampling,no cost sensitive,1197,111,29,79,0.416,0.731,0.823,0.480
BOOKKEEPER,19,random forest,no selection,undersampling,no cost sensitive,1242,118,18,87,0.424,0.829,0.956,0.515
BOOKKEEPER,19,naive bayes,no selection,undersampling,no cost sensitive,1248,112,47,58,0.341,0.552,0.889,0.366
BOOKKEEPER,19,ibk,no selection,undersampling,no cost sensitive,1195,165,28,77,0.318,0.733,0.808,0.382
BOOKKEEPER,20,random forest,no selection,undersampling,no cost sensitive,1230,156,21,108,0.409,0.837,0.944,0.491
BOOKKEEPER,20,naive bayes,no selection,undersampling,no cost sensitive,1277,109,63,66,0.377,0.512,0.880,0.373
BOOKKEEPER,20,ibk,no selection,undersampling,no cost sensitive,1208,178,26,103,0.367,0.798,0.837,0.437
BOOKKEEPER,21,random forest,no selection,undersampling,no cost sensitive,1255,199,14,90,0.311,0.865,0.935,0.399
BOOKKEEPER,21,naive bayes,no selection,undersampling,no cost sensitive,1325,129,50,54,0.295,0.519,0.857,0.318
BOOKKEEPER,21,ibk,no selection,undersampling,no cost sensitive,1212,242,22,82,0.253,0.788,0.809,0.314
BOOKKEEPER,22,random forest,no selection,undersampling,no cost sensitive,1272,194,10,86,0.307,0.896,0.957,0.403
BOOKKEEPER,22,naive bayes,no selection,undersampling,no cost sensitive,1329,137,44,52,0.275,0.542,0.866,0.309
BOOKKEEPER,22,ibk,no selection,undersampling,no cost sensitive,1228,238,23,73,0.235,0.760,0.804,0.292
BOOKKEEPER,1,random forest,no selection,undersampling,sensitive threshold,553,252,0,84,0.250,1.000,0.843,0.293
BOOKKEEPER,1,naive bayes,no selection,undersampling,sensitive threshold,719,86,18,66,0.434,0.786,0.839,0.498
BOOKKEEPER,1,ibk,no selection,undersampling,sensitive threshold,702,103,0,84,0.449,1.000,0.936,0.563
BOOKKEEPER,2,random forest,no selection,undersampling,sensitive threshold,658,182,5,125,0.407,0.962,0.872,0.473
BOOKKEEPER,2,naive bayes,no selection,undersampling,sensitive threshold,713,127,53,77,0.377,0.592,0.721,0.356
BOOKKEEPER,2,ibk,no selection,undersampling,sensitive threshold,705,135,22,108,0.444,0.831,0.835,0.490
BOOKKEEPER,3,random forest,no selection,undersampling,sensitive threshold,680,158,0,132,0.455,1.000,0.906,0.539
BOOKKEEPER,3,naive bayes,no selection,undersampling,sensitive threshold,715,123,51,81,0.397,0.614,0.733,0.380
BOOKKEEPER,3,ibk,no selection,undersampling,sensitive threshold,742,96,25,107,0.527,0.811,0.848,0.567
BOOKKEEPER,4,random forest,no selection,undersampling,sensitive threshold,684,171,1,169,0.497,0.994,0.897,0.567
BOOKKEEPER,4,naive bayes,no selection,undersampling,sensitive threshold,739,116,70,100,0.463,0.588,0.726,0.408
BOOKKEEPER,4,ibk,no selection,undersampling,sensitive threshold,779,76,30,140,0.648,0.824,0.867,0.663
BOOKKEEPER,5,random forest,no selection,undersampling,sensitive threshold,717,138,0,175,0.559,1.000,0.919,0.638
BOOKKEEPER,5,naive bayes,no selection,undersampling,sensitive threshold,717,138,69,106,0.434,0.606,0.722,0.384
BOOKKEEPER,5,ibk,no selection,undersampling,sensitive threshold,797,58,22,153,0.725,0.874,0.903,0.745
BOOKKEEPER,6,random forest,no selection,undersampling,sensitive threshold,716,238,0,100,0.296,1.000,0.875,0.363
BOOKKEEPER,6,naive bayes,no selection,undersampling,sensitive threshold,796,158,35,65,0.291,0.650,0.742,0.312
